name,site,type,subtypes,category,phone,full_address,rating,reviews,working_hours,other_hours,business_status,about,range,logo,description,verified,,,,,,,,
Burger King,https://www.burgerking.ca/store-locator/store/restaurant_1767,Restaurant,"Restaurant, Fast food restaurant",restaurants,+1 204-727-2329,"1605 18th St, Brandon, MB R7A 5C6",3.3,404,"{""Sunday"": ""7a.m.-12a.m."", ""Monday"": ""7a.m.-12a.m."", ""Tuesday"": ""7a.m.-12a.m."", ""Wednesday"": ""7a.m.-12a.m."", ""Thursday"": ""7a.m.-12a.m."", ""Friday"": ""7a.m.-12a.m."", ""Saturday"": ""7a.m.-12a.m.""}","[{""drive_through"": {""Sunday"": ""7 a.m.-12 a.m."", ""Monday"": ""7 a.m.-12 a.m."", ""Tuesday"": ""7 a.m.-12 a.m."", ""Wednesday"": ""7 a.m.-12 a.m."", ""Thursday"": ""7 a.m.-12 a.m."", ""Friday"": ""7 a.m.-12 a.m."", ""Saturday"": ""7 a.m.-12 a.m.""}}]",OPERATIONAL,"{""Service options"": {""Delivery"": true, ""Drive-through"": true, ""Takeout"": true, ""Dine-in"": true}, ""Highlights"": {""Fast service"": true}, ""Accessibility"": {""Wheelchair accessible seating"": true, ""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible parking lot"": true, ""Wheelchair-accessible washroom"": true}, ""Offerings"": {""Coffee"": true, ""Late-night food"": true, ""Quick bite"": true}, ""Dining options"": {""Breakfast"": true, ""Lunch"": true, ""Dinner"": true, ""Counter service"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Washroom"": true}, ""Atmosphere"": {""Casual"": true}, ""Crowd"": {""Family-friendly"": true, ""Groups"": true, ""LGBTQ+ friendly"": true, ""Transgender safe space"": true}, ""Planning"": {""Accepts reservations"": false}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true, ""Good for kids birthday"": true, ""High chairs"": true, ""Kids' menu"": true}, ""Other"": {""LGBTQ+ friendly"": true}}",$,https://lh4.googleusercontent.com/-FHzyEgkrPn0/AAAAAAAAAAI/AAAAAAAAAAA/mP-3boCkExM/s44-p-k-no-ns-nd/photo.jpg,"Well-known fast-food chain serving grilled burgers, fries & shakes.",TRUE,,,,,,,,
Subway,https://restaurants.subway.com/canada/mb/brandon/1570-18th-st?utm_source=yxt-goog,Sandwich shop,"Sandwich shop, Caterer, Fast food restaurant, Takeout Restaurant, Restaurant",restaurants,+1 204-727-1211,"1570 18th St Unit #81, Brandon, MB R7A 5C5",3,14,"{""Sunday"": ""11a.m.-6p.m."", ""Monday"": ""10a.m.-8p.m."", ""Tuesday"": ""10a.m.-8p.m."", ""Wednesday"": ""10a.m.-8p.m."", ""Thursday"": ""10a.m.-8p.m."", ""Friday"": ""10a.m.-8p.m."", ""Saturday"": ""10a.m.-6p.m.""}",,OPERATIONAL,"{""Service options"": {""Delivery"": true, ""Takeout"": true, ""Dine-in"": true}, ""Accessibility"": {""Wheelchair accessible seating"": true, ""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible parking lot"": true, ""Wheelchair-accessible washroom"": true}, ""Offerings"": {""Coffee"": true, ""Healthy options"": true, ""Vegetarian options"": true}, ""Dining options"": {""Breakfast"": true, ""Lunch"": true, ""Dinner"": true, ""Catering"": true, ""Counter service"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Washroom"": true, ""Wi-Fi"": true}, ""Atmosphere"": {""Casual"": true}, ""Crowd"": {""Family-friendly"": true, ""Groups"": true}, ""Planning"": {""Accepts reservations"": false}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true, ""High chairs"": true, ""Kids' menu"": true}}",$,https://lh3.googleusercontent.com/-DsB81ZtMxvU/AAAAAAAAAAI/AAAAAAAAAAA/tbUwxNvFaYk/s44-p-k-no-ns-nd/photo.jpg,"Casual counter-serve chain for build-your-own sandwiches & salads, with health-conscious options.",TRUE,,,,,,,,
The Dock On Princess,https://www.thedockonprincess.com/,Pub,"Pub, Caterer, Delivery Restaurant, Pool hall, Restaurant",bars,+1 204-726-1234,"1133 Princess Ave, Brandon, MB R7A 0R1",4.4,799,"{""Sunday"": ""Closed"", ""Monday"": ""11:30a.m.-11p.m."", ""Tuesday"": ""11:30a.m.-11p.m."", ""Wednesday"": ""11:30a.m.-11p.m."", ""Thursday"": ""11:30a.m.-11p.m."", ""Friday"": ""11:30a.m.-12a.m."", ""Saturday"": ""11:30a.m.-12a.m.""}",,OPERATIONAL,"{""Service options"": {""Outdoor seating"": true, ""Curbside pickup"": true, ""No-contact delivery"": true, ""Delivery"": true, ""Takeout"": true, ""Dine-in"": true}, ""Highlights"": {""Bar games"": true, ""Fast service"": true, ""Great bar food"": true, ""Great cocktails"": true, ""Live music"": true, ""Live performances"": true, ""Sports"": true}, ""Accessibility"": {""Wheelchair accessible seating"": true, ""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible parking lot"": true, ""Wheelchair-accessible washroom"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Food"": true, ""Food at bar"": true, ""Hard liquor"": true, ""Wine"": true}, ""Dining options"": {""Seating"": true}, ""Amenities"": {""Washroom"": true}, ""Atmosphere"": {""Casual"": true, ""Cozy"": true}, ""Crowd"": {""Groups"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Parking"": {""Free parking lot"": true, ""Free street parking"": true, ""Parking"": true}}",$$,https://lh3.googleusercontent.com/-8YIivYOXaOM/AAAAAAAAAAI/AAAAAAAAAAA/HFR51GF_-jU/s44-p-k-no-ns-nd/photo.jpg,"We are a locally owned pub where we put the emphasis on fresh, local and sustainable food. Family and friends are invited to come drink and dine in our casual and relaxing atmosphere. We are open Monday to Saturdays at 11:30am.",TRUE,,,,,,,,
Bento Sushi,https://www.bentosushi.com/,Takeout Restaurant,Takeout Restaurant,restaurants,+1 403-210-4351,"920 Victoria Ave, Brandon, MB R7A 1A7",3.5,2,"{""Sunday"": ""9a.m.-6p.m."", ""Monday"": ""7a.m.-11p.m."", ""Tuesday"": ""7a.m.-11p.m."", ""Wednesday"": ""7a.m.-11p.m."", ""Thursday"": ""7a.m.-11p.m."", ""Friday"": ""7a.m.-11p.m."", ""Saturday"": ""7a.m.-11p.m.""}",,OPERATIONAL,"{""Service options"": {""Delivery"": true, ""Takeout"": true}, ""Accessibility"": {""Wheelchair-accessible parking lot"": true}, ""Offerings"": {""Healthy options"": true, ""Small plates"": true}, ""Dining options"": {""Lunch"": true, ""Dinner"": true}, ""Atmosphere"": {""Casual"": true}, ""Payments"": {""Credit cards"": true}}",$$,https://lh3.googleusercontent.com/-Uf2bJd1xbT8/AAAAAAAAAAI/AAAAAAAAAAA/uIUzStIcC_A/s44-p-k-no-ns-nd/photo.jpg,"Look for Bento Sushi products in the deli or home-meal replacement section of the grocery store. Available in the cooler: convenient and ready for you to ""grab & go"". Our talented chefs roll and prepare sushi each day at the grocery store. Quality, consistency and great value is at the core of every sushi roll we produce.",TRUE,,,,,,,,
Keystone Motor Inn,http://www.keystonemotorinn.ca/,Hotel,"Hotel, Adult entertainment club, Bar, Beer store, Lounge",hotels,+1 204-728-6620,"1050 18th St, Brandon, MB R7A 5C1",3.7,71,,,OPERATIONAL,"{""Other"": {""Free parking"": true, ""Free Wi-Fi"": true, ""Air-conditioned"": true, ""Breakfast"": true, ""Star rating"": ""3 stars"", ""Check-out time"": ""11:00 a.m."", ""Check-in time"": ""3:00 p.m.""}, ""Amenities"": {""Free Wi-Fi"": true, ""Paid breakfast"": true, ""Free parking"": true, ""Pool"": false, ""Air-conditioned"": true, ""Pet-friendly"": false, ""Restaurant"": true, ""Airport shuttle"": false, ""Fitness center"": false, ""Smoke-free"": true}}",3 stars,https://lh5.googleusercontent.com/-KBkYezTz1eE/AAAAAAAAAAI/AAAAAAAAAAA/VDRqOf11Zbw/s44-p-k-no-ns-nd/photo.jpg,"Down-to-earth inn with simple rooms, continental breakfast & an adults-only lounge.",TRUE,,,,,,,,
Wayback Burgers,https://waybackburgers.ca/locations/ca/manitoba/brandon/%3Fy_source%3D1_MTUxMTQwNjctNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,Hamburger restaurant,"Hamburger restaurant, American restaurant, Fast food restaurant",Hamburger restaurant,+1 204-717-5678,"1240 18th St, Brandon, MB R7A 5C3",4.3,356,"{""Sunday"": ""11a.m.-9p.m."", ""Monday"": ""11a.m.-9p.m."", ""Tuesday"": ""11a.m.-9p.m."", ""Wednesday"": ""11a.m.-9p.m."", ""Thursday"": ""11a.m.-9p.m."", ""Friday"": ""11a.m.-9p.m."", ""Saturday"": ""11a.m.-9p.m.""}",,OPERATIONAL,"{""Service options"": {""Delivery"": true, ""Takeout"": true, ""Dine-in"": true}, ""Accessibility"": {""Wheelchair accessible seating"": true, ""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible parking lot"": true, ""Wheelchair-accessible washroom"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true}, ""Dining options"": {""Lunch"": true, ""Dinner"": true, ""Seating"": true}, ""Amenities"": {""Washroom"": true, ""Wi-Fi"": true}, ""Atmosphere"": {""Casual"": true}, ""Crowd"": {""Family-friendly"": true, ""Groups"": true}, ""Planning"": {""Accepts reservations"": false}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true, ""High chairs"": true, ""Kids' menu"": true}, ""Parking"": {""Free parking lot"": true, ""Parking"": true}}",$$,https://lh4.googleusercontent.com/-Iv7l0lDs4ss/AAAAAAAAAAI/AAAAAAAAAAA/5oStakWWjX8/s44-p-k-no-ns-nd/photo.jpg,Made-to-order burgers & milkshakes fill out the menu at this quick-serve chain with retro decor.,TRUE,,,,,,,,
Pizza Hut Brandon,https://www.pizzahut.ca/huts/ca-1/R10901?utm_source=google,Pizza restaurant,"Pizza restaurant, Delivery Service",restaurants,+1 204-726-0600,"860 18th St, Brandon, MB R7A 5B7",4,619,"{""Sunday"": ""11:30a.m.-12a.m."", ""Monday"": ""11a.m.-12a.m."", ""Tuesday"": ""11a.m.-12a.m."", ""Wednesday"": ""11a.m.-12a.m."", ""Thursday"": ""11a.m.-12a.m."", ""Friday"": ""11a.m.-12a.m."", ""Saturday"": ""11a.m.-12a.m.""}",,OPERATIONAL,"{""Service options"": {""Curbside pickup"": true, ""No-contact delivery"": true, ""Delivery"": true, ""Takeout"": true, ""Dine-in"": true}, ""Highlights"": {""Fast service"": true}, ""Accessibility"": {""Wheelchair accessible seating"": true, ""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible parking lot"": true, ""Wheelchair-accessible washroom"": true}, ""Offerings"": {""Alcohol"": true, ""All you can eat"": true, ""Beer"": true, ""Cocktails"": true, ""Coffee"": true, ""Hard liquor"": true, ""Late-night food"": true, ""Quick bite"": true, ""Salad bar"": true, ""Small plates"": true, ""Vegetarian options"": true, ""Wine"": true}, ""Dining options"": {""Lunch"": true, ""Dinner"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Washroom"": true}, ""Atmosphere"": {""Casual"": true}, ""Crowd"": {""Family-friendly"": true, ""Groups"": true, ""LGBTQ+ friendly"": true, ""Transgender safe space"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true, ""Good for kids birthday"": true, ""High chairs"": true, ""Kids' menu"": true}, ""Parking"": {""Free parking lot"": true}, ""Other"": {""LGBTQ+ friendly"": true}}",$$,https://lh3.googleusercontent.com/-w3zWFOQjCEU/AAAAAAAAAAI/AAAAAAAAAAA/BOZfbyI1xJ8/s44-p-k-no-ns-nd/photo.jpg,"Popular delivery, carry-out & dine-in chain known for pizza, wings & pasta, plus sides & desserts.",TRUE,,,,,,,,
Sushi Hut,https://m.sushihut.ca/,Restaurant,"Restaurant, Japanese restaurant, Sushi restaurant",restaurants,+1 204-728-1888,"2728 Victoria Ave, Brandon, MB R7B 0M8",3.9,528,"{""Sunday"": ""12-10p.m."", ""Monday"": ""11a.m.-10p.m."", ""Tuesday"": ""11a.m.-10p.m."", ""Wednesday"": ""11a.m.-10p.m."", ""Thursday"": ""11a.m.-10p.m."", ""Friday"": ""11a.m.-10p.m."", ""Saturday"": ""11a.m.-10p.m.""}","[{""lunch"": {""Sunday"": ""12-3:30 p.m."", ""Monday"": ""11 a.m.-3:30 p.m."", ""Tuesday"": ""11 a.m.-3:30 p.m."", ""Wednesday"": ""11 a.m.-3:30 p.m."", ""Thursday"": ""11 a.m.-3:30 p.m."", ""Friday"": ""11 a.m.-3:30 p.m."", ""Saturday"": ""11 a.m.-3:30 p.m.""}}, {""dinner"": {""Sunday"": ""3:30-10 p.m."", ""Monday"": ""3:30-10 p.m."", ""Tuesday"": ""3:30-10 p.m."", ""Wednesday"": ""3:30-10 p.m."", ""Thursday"": ""3:30-10 p.m."", ""Friday"": ""3:30-10 p.m."", ""Saturday"": ""3:30-10 p.m.""}}]",OPERATIONAL,"{""Service options"": {""Delivery"": true, ""Takeout"": true, ""Dine-in"": true}, ""Highlights"": {""Fast service"": true, ""Great tea selection"": true}, ""Accessibility"": {""Wheelchair accessible seating"": true, ""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible parking lot"": true, ""Wheelchair-accessible washroom"": true}, ""Offerings"": {""Alcohol"": true, ""All you can eat"": true, ""Beer"": true, ""Coffee"": true, ""Hard liquor"": true, ""Healthy options"": true, ""Quick bite"": true, ""Small plates"": true, ""Vegan options"": true, ""Vegetarian options"": true, ""Wine"": true}, ""Dining options"": {""Lunch"": true, ""Dinner"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Washroom"": true, ""Wi-Fi"": true}, ""Atmosphere"": {""Casual"": true, ""Cozy"": true}, ""Crowd"": {""Groups"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true, ""High chairs"": true}, ""Parking"": {""Free parking lot"": true, ""Parking"": true}}",$$,https://lh3.googleusercontent.com/-am8QvgWz_A8/AAAAAAAAAAI/AAAAAAAAAAA/fz2FlrPlUO0/s44-p-k-no-ns-nd/photo.jpg,"Sushi Hut is a great place to enjoy All You Can Eat Lunch and Dinner buffet in Brandon.
What sets us apart is that our buffet food is not pre-cooked but freshly prepared upon the placement of an order. We are not limited to just Sushi, we also offer yummylicious Sashimi, Handrolls, deep-fried tempura dishes, noodles, fried rice and more ;)
We invite you to come and check out our restaurant at 2728 Victoria Ave, Brandon, and discover our exceptional meals.
You can also order online or call us for take-out AND find us on Skip the Dishes for delivery options.",TRUE,,,,,,,,
Tim Hortons,https://locations.timhortons.ca/en/mb/brandon/1570-18th-street/,Coffee shop,"Coffee shop, Bakery, Breakfast restaurant, Cafe, Donut shop, Fast food restaurant",coffee shops,+1 204-727-8467,"1570 18th St, Brandon, MB R7A 5C5",3.8,128,"{""Sunday"": ""9:30a.m.-6p.m."", ""Monday"": ""9:30a.m.-8p.m."", ""Tuesday"": ""9:30a.m.-8p.m."", ""Wednesday"": ""9:30a.m.-8p.m."", ""Thursday"": ""9:30a.m.-8p.m."", ""Friday"": ""9:30a.m.-8p.m."", ""Saturday"": ""9:30a.m.-6p.m.""}","[{""delivery"": {""Sunday"": ""12-12:30 a.m."", ""Monday"": ""12-12:30 a.m."", ""Tuesday"": ""12-12:30 a.m."", ""Wednesday"": ""12-12:30 a.m."", ""Thursday"": ""12-12:30 a.m."", ""Friday"": ""12-12:30 a.m."", ""Saturday"": ""12-12:30 a.m.""}}]",OPERATIONAL,"{""Service options"": {""Takeout"": true, ""Dine-in"": true, ""Delivery"": false}, ""Highlights"": {""Fast service"": true, ""Great tea selection"": true}, ""Accessibility"": {""Wheelchair accessible seating"": true, ""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible parking lot"": true, ""Wheelchair-accessible washroom"": true}, ""Offerings"": {""Coffee"": true, ""Healthy options"": true, ""Late-night food"": true, ""Prepared foods"": true, ""Quick bite"": true, ""Vegetarian options"": true}, ""Dining options"": {""Breakfast"": true, ""Brunch"": true, ""Lunch"": true, ""Dinner"": true, ""Catering"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Washroom"": true, ""Wi-Fi"": true}, ""Atmosphere"": {""Casual"": true, ""Cozy"": true}, ""Crowd"": {""Groups"": true}, ""Planning"": {""Accepts reservations"": false}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true, ""High chairs"": true, ""Kids' menu"": true}}",$,https://lh4.googleusercontent.com/-taLjYBGkqQ0/AAAAAAAAAAI/AAAAAAAAAAA/1Z8THc5JrdU/s44-p-k-no-ns-nd/photo.jpg,"Canadian chain for signature premium-blend coffee, plus light fare, pastries & breakfast sandwiches.",TRUE,,,,,,,,
Canad Inns Destination Centre Brandon,https://www.canadinns.com/stay/brandon/,Hotel,Hotel,hotels,+1 888-332-2623,"1125 18th St, Brandon, MB R7A 7C5",3.9,812,,,OPERATIONAL,"{""Other"": {""Pool"": true, ""Free parking"": true, ""Hot tub"": true, ""Free Wi-Fi"": true, ""Star rating"": ""3 stars"", ""Check-out time"": ""11:00 a.m."", ""Check-in time"": ""3:00 p.m.""}, ""Amenities"": {""Free Wi-Fi"": true, ""Free breakfast"": false, ""Free parking"": true, ""Accessible"": true, ""Indoor pool"": true, ""Air-conditioned"": true, ""Pet-friendly"": true, ""Kid-friendly"": true, ""Restaurant"": true, ""Airport shuttle"": false, ""Hot tub"": true, ""Fitness center"": true, ""Bar"": true, ""Smoke-free"": true}}",3 stars,https://lh5.googleusercontent.com/-vjxSa_5MIY4/AAAAAAAAAAI/AAAAAAAAAAA/15DgJ8bRJ4A/s44-p-k-no-ns-nd/photo.jpg,"Relaxed hotel offering a restaurant, a sports pub & a gaming lounge, plus an indoor pool.",TRUE,,,,,,,,
Indigenous Eats,,Fast food restaurant,Fast food restaurant,restaurants,,"936 Lorne Ave, Brandon, MB R7A 7J8",3.6,5,,,OPERATIONAL,"{""Service options"": {""Takeout"": true, ""Dine-in"": true}, ""Dining options"": {""Lunch"": true}, ""Atmosphere"": {""Casual"": true}, ""Crowd"": {""Groups"": true}, ""Payments"": {""Debit cards"": true, ""NFC mobile payments"": true, ""Credit cards"": true}, ""Children"": {""Good for kids"": true}}",,,,FALSE,,,,,,,,
A&W Canada,https://web.aw.ca/,Hamburger restaurant,"Hamburger restaurant, American restaurant, Breakfast restaurant, Chicken restaurant, Fast food restaurant",Hamburger restaurant,+1 204-729-0811,"1550 Highland Avenue, Trans-Canada Hwy, Brandon, MB R7C 1A7",4,818,"{""Sunday"": ""7a.m.-10p.m."", ""Monday"": ""7a.m.-10p.m."", ""Tuesday"": ""7a.m.-10p.m."", ""Wednesday"": ""7a.m.-10p.m."", ""Thursday"": ""7a.m.-10p.m."", ""Friday"": ""7a.m.-10p.m."", ""Saturday"": ""7a.m.-10p.m.""}",,OPERATIONAL,"{""Service options"": {""Outdoor seating"": true, ""Curbside pickup"": true, ""Delivery"": true, ""Drive-through"": true, ""Takeout"": true, ""Dine-in"": true}, ""Highlights"": {""Fast service"": true, ""Fireplace"": true}, ""Accessibility"": {""Wheelchair accessible seating"": true, ""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible parking lot"": true, ""Wheelchair-accessible washroom"": true}, ""Offerings"": {""Alcohol"": true, ""Coffee"": true, ""Halal food"": true, ""Late-night food"": true, ""Organic dishes"": true, ""Quick bite"": true, ""Salad bar"": true, ""Small plates"": true}, ""Dining options"": {""Breakfast"": true, ""Brunch"": true, ""Lunch"": true, ""Catering"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Washroom"": true}, ""Atmosphere"": {""Casual"": true}, ""Crowd"": {""Groups"": true}, ""Planning"": {""Reservations required"": true, ""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true, ""High chairs"": true}, ""Parking"": {""Free parking lot"": true, ""Parking"": true}}",$,https://lh5.googleusercontent.com/-0DrgKGxjMhw/AAAAAAAAAAI/AAAAAAAAAAA/MFQ49IGBym8/s44-p-k-no-ns-nd/photo.jpg,"Fast-food outlet serving up namesake root beer, plus burgers, chicken & fries.",TRUE,,,,,,,,
Popeyes Louisiana Kitchen,https://www.popeyes.com/store-locator/store/restaurant_241475,Restaurant,"Restaurant, Fast food restaurant",restaurants,+1 204-728-0270,"445 10th St, Brandon, MB R7A 4G3",4.5,343,"{""Sunday"": ""11a.m.-10p.m."", ""Monday"": ""11a.m.-10p.m."", ""Tuesday"": ""11a.m.-10p.m."", ""Wednesday"": ""11a.m.-10p.m."", ""Thursday"": ""11a.m.-10p.m."", ""Friday"": ""11a.m.-10p.m."", ""Saturday"": ""11a.m.-10p.m.""}","[{""drive_through"": {""Sunday"": ""11 a.m.-10 p.m."", ""Monday"": ""11 a.m.-10 p.m."", ""Tuesday"": ""11 a.m.-10 p.m."", ""Wednesday"": ""11 a.m.-10 p.m."", ""Thursday"": ""11 a.m.-10 p.m."", ""Friday"": ""11 a.m.-10 p.m."", ""Saturday"": ""11 a.m.-10 p.m.""}}]",OPERATIONAL,"{""Service options"": {""Delivery"": true, ""Drive-through"": true, ""Takeout"": true, ""Dine-in"": true}, ""Accessibility"": {""Wheelchair accessible seating"": true, ""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible parking lot"": true, ""Wheelchair-accessible washroom"": true}, ""Offerings"": {""Coffee"": true, ""Late-night food"": true, ""Small plates"": true}, ""Dining options"": {""Lunch"": true, ""Dinner"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Washroom"": true}, ""Atmosphere"": {""Casual"": true}, ""Crowd"": {""Groups"": true}, ""Planning"": {""Accepts reservations"": false}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true, ""High chairs"": true, ""Kids' menu"": true}, ""Parking"": {""Free parking lot"": true, ""Parking"": true}}",$,https://lh4.googleusercontent.com/-eK0yYhEoGT4/AAAAAAAAAAI/AAAAAAAAAAA/jjngXVhZWaM/s44-p-k-no-ns-nd/photo.jpg,"Louisiana-inspired fast-food chain known for its spicy fried chicken, biscuits & sides.",TRUE,,,,,,,,
Wok Box - Brandon,http://www.wokbox.ca/,Wok restaurant,"Wok restaurant, Fast food restaurant",restaurants,+1 204-571-0099,"930d 18th St, Brandon, MB R7A 5C1",4.2,286,"{""Sunday"": ""12-11p.m."", ""Monday"": ""10a.m.-11p.m."", ""Tuesday"": ""10a.m.-11p.m."", ""Wednesday"": ""10a.m.-11p.m."", ""Thursday"": ""10a.m.-11p.m."", ""Friday"": ""10a.m.-12a.m."", ""Saturday"": ""10a.m.-12a.m.""}",,OPERATIONAL,"{""Service options"": {""Curbside pickup"": true, ""No-contact delivery"": true, ""Delivery"": true, ""Takeout"": true, ""Dine-in"": true}, ""Highlights"": {""Fast service"": true}, ""Accessibility"": {""Wheelchair accessible seating"": true, ""Wheelchair-accessible elevator"": true, ""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible parking lot"": true, ""Wheelchair-accessible washroom"": true}, ""Offerings"": {""Coffee"": true, ""Healthy options"": true, ""Quick bite"": true, ""Small plates"": true, ""Vegetarian options"": true}, ""Dining options"": {""Lunch"": true, ""Dinner"": true, ""Catering"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Washroom"": true}, ""Atmosphere"": {""Casual"": true}, ""Crowd"": {""Family-friendly"": true, ""Groups"": true}, ""Planning"": {""Accepts reservations"": false}, ""Payments"": {""Checks"": true, ""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true, ""High chairs"": true, ""Kids' menu"": true}, ""Parking"": {""Free parking lot"": true, ""Parking"": true}}",$$,https://lh4.googleusercontent.com/-AaWGq139rtA/AAAAAAAAAAI/AAAAAAAAAAA/A6-BR-M88vk/s44-p-k-no-ns-nd/photo.jpg,,TRUE,,,,,,,,
Kings Kitchen,https://jandghomesarena.ca/kings-kitchen/,Restaurant,Restaurant,restaurants,+1 204-901-0815,"34th Street and, Patricia Ave, Brandon, MB R7A 5Y1",3.4,5,"{""Sunday"": ""8a.m.-7p.m."", ""Monday"": ""4-11p.m."", ""Tuesday"": ""4-11p.m."", ""Wednesday"": ""4-11p.m."", ""Thursday"": ""4-11p.m."", ""Friday"": ""11a.m.-11p.m."", ""Saturday"": ""8a.m.-11p.m.""}",,OPERATIONAL,"{""Service options"": {""Curbside pickup"": true, ""No-contact delivery"": true, ""Delivery"": true, ""Takeout"": true, ""Dine-in"": true}, ""Highlights"": {""Great cocktails"": true}, ""Accessibility"": {""Wheelchair accessible seating"": true, ""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible parking lot"": true, ""Wheelchair-accessible washroom"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Coffee"": true, ""Hard liquor"": true, ""Small plates"": true, ""Wine"": true}, ""Dining options"": {""Brunch"": true, ""Lunch"": true, ""Dinner"": true, ""Dessert"": true}, ""Amenities"": {""Washroom"": true}, ""Atmosphere"": {""Casual"": true}, ""Crowd"": {""Groups"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}}",,https://lh4.googleusercontent.com/-R8E0h-4K1rA/AAAAAAAAAAI/AAAAAAAAAAA/ZY_frAbrIPc/s44-p-k-no-ns-nd/photo.jpg,"Not your average dining experience!

Live in action entertainment at ice level.

Fun atmosphere with lots to take in, the restaurant itself truly Is a work of art.

We welcome you to grab a table and stay and try your hand at ping pong or visit the outdoor patio.

Overall, Kings Kitchen is a place for cheers, good times and celebrations!",TRUE,,,,,,,,
Wu's Restaurant,https://www.facebook.com/WusKillarney,Chinese restaurant,Chinese restaurant,restaurants,+1 204-523-8989,"523 Broadway av, Killarney, MB R0K 1G0",4.4,73,"{""Sunday"": ""11:30a.m.-8p.m."", ""Monday"": ""11:30a.m.-8p.m."", ""Tuesday"": ""9a.m.-8p.m."", ""Wednesday"": ""9a.m.-8p.m."", ""Thursday"": ""9a.m.-8p.m."", ""Friday"": ""9a.m.-8p.m."", ""Saturday"": ""9a.m.-8p.m.""}",,OPERATIONAL,"{""Service options"": {""Takeout"": true, ""Dine-in"": true}, ""Accessibility"": {""Wheelchair accessible seating"": true, ""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible parking lot"": true, ""Wheelchair-accessible washroom"": true}, ""Offerings"": {""All you can eat"": true, ""Coffee"": true, ""Small plates"": true}, ""Dining options"": {""Lunch"": true, ""Dinner"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Washroom"": true}, ""Atmosphere"": {""Casual"": true}, ""Crowd"": {""Groups"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true, ""High chairs"": true}}",$,,,FALSE,,,,,,,,
